10:54:06, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
10:55:56, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
10:57:00, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
10:57:34, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
10:58:08, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
10:58:43, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
10:59:17, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:00:01, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:00:47, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:06:44, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:07:18, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:07:53, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:08:31, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:09:27, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:25:05, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:26:01, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:26:58, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:27:44, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:28:40, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:29:36, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:30:33, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:31:29, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:32:25, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:33:31, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:34:36, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:35:41, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:36:47, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:37:52, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:38:57, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:40:03, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:41:08, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:42:13, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:43:18, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:44:24, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:45:20, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:46:17, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:47:12, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:48:08, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:49:13, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:50:18, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:51:23, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:52:29, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:53:34, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:54:39, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:55:45, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:56:50, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:57:55, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:59:01, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
12:00:06, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
12:01:11, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
12:02:16, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
12:03:31, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
12:04:27, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
12:05:23, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
12:06:19, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
12:07:25, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
12:08:35, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
13:41:15, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
13:42:29, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
13:43:44, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
13:44:58, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
13:46:12, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
13:47:27, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
13:48:41, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
13:49:55, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
13:51:10, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
13:52:24, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
13:53:38, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
13:54:53, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
13:56:07, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
13:57:22, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
13:58:36, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
13:59:50, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:01:05, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:02:19, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:03:33, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:04:48, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:06:02, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:07:17, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:08:31, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:09:45, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:11:00, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:12:14, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:13:28, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:14:43, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:15:57, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:17:03, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:18:17, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:19:32, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:20:46, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:22:01, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
