10:23:42, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.027/0.027/0.027/0.000 ms
10:23:47, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.036/0.036/0.036/0.000 ms
10:23:52, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.026/0.026/0.026/0.000 ms
10:23:57, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.029/0.029/0.029/0.000 ms
10:24:03, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.031/0.031/0.031/0.000 ms
10:24:08, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.027/0.027/0.027/0.000 ms
10:24:13, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.025/0.025/0.025/0.000 ms
10:24:18, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.035/0.035/0.035/0.000 ms
10:24:23, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.026/0.026/0.026/0.000 ms
10:24:28, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.027/0.027/0.027/0.000 ms
10:24:34, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.036/0.036/0.036/0.000 ms
10:28:52, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:30:34, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:31:51, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:32:39, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:47:48, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:48:35, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:49:22, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:50:10, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:50:57, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:51:44, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:52:30, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:01:15, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:08:59, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:09:51, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:25:33, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:26:30, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:28:12, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:29:08, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:30:05, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:31:01, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:31:57, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:33:03, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:34:08, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:35:13, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:36:19, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:37:24, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:38:29, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:39:34, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:40:40, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:41:45, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:42:50, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:43:55, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:44:52, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:45:48, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:46:44, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:47:40, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:48:45, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:49:50, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:50:55, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:52:01, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:53:06, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:54:11, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:55:16, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:56:22, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:57:27, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:58:33, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:59:38, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
12:00:43, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
12:01:48, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
12:03:03, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
12:03:58, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
12:04:55, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
12:05:51, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
12:06:57, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
12:08:07, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
13:42:01, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
13:43:15, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
13:44:30, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
13:45:44, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
13:46:58, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
13:48:13, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
13:49:27, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
13:50:42, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
13:51:56, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
13:53:10, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
13:54:25, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
13:55:39, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
13:56:53, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
13:58:08, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
13:59:22, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:00:37, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:01:51, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:03:05, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:04:20, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:05:34, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:06:48, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:08:03, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:09:17, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:10:32, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:11:46, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:13:00, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:14:15, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:15:29, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:16:35, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:17:49, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:19:04, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:20:18, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:21:32, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:22:47, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:24:01, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:25:15, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:26:30, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:27:44, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:28:59, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:30:13, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:31:27, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:32:42, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:33:56, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:35:10, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:36:25, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:37:39, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:38:54, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:40:08, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:41:22, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:42:37, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:43:51, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:45:05, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:46:20, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:47:34, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:48:49, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:50:03, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:51:17, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:52:32, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:53:46, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:55:00, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:56:15, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:57:29, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:58:44, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
15:00:16, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
15:01:31, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
15:02:45, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
15:04:30, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
15:10:24, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
15:17:25, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
