09:57:33, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:11:02, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:16:15, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:17:35, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:23:42, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.038/0.038/0.038/0.000 ms
10:23:47, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.032/0.032/0.032/0.000 ms
10:23:52, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.036/0.036/0.036/0.000 ms
10:23:57, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.030/0.030/0.030/0.000 ms
10:24:02, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.030/0.030/0.030/0.000 ms
10:24:08, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.037/0.037/0.037/0.000 ms
10:24:13, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.028/0.028/0.028/0.000 ms
10:24:18, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.025/0.025/0.025/0.000 ms
10:24:23, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.033/0.033/0.033/0.000 ms
10:24:28, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.034/0.034/0.034/0.000 ms
10:24:33, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.028/0.028/0.028/0.000 ms
10:25:18, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:27:39, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:29:46, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:31:30, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:32:16, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:47:27, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:48:13, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:49:00, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:49:47, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:50:35, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:51:22, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:52:09, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:52:55, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:53:53, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:55:43, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:56:47, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:57:21, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:57:55, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:58:29, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:59:04, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:59:48, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:00:34, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:01:30, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:06:31, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:07:05, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:07:40, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:08:17, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:09:14, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:24:52, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:25:48, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:26:45, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:27:31, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:28:27, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:29:23, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:30:20, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:31:16, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:32:12, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:33:18, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:34:23, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:35:28, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:36:34, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:37:39, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:38:44, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:39:49, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:40:55, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:42:00, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:43:05, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:44:10, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:45:07, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:46:03, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:46:59, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:47:55, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:49:00, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:50:05, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:51:10, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:52:16, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:53:21, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:54:26, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:55:31, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:56:37, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:57:42, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:58:48, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:59:53, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
12:00:58, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
12:02:03, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
12:03:18, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
12:04:13, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
12:05:10, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
12:06:06, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
12:07:12, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
12:08:22, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
13:41:02, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
13:42:16, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
13:43:30, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
13:44:45, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
13:45:59, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
13:47:14, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
13:48:28, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
13:49:42, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
13:50:57, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
13:52:11, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
13:53:25, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
13:54:40, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
13:55:54, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
13:57:08, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
13:58:23, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
13:59:37, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:00:52, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:02:06, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:03:20, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:04:35, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:05:49, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:07:03, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:08:18, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:09:32, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:10:47, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:12:01, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:13:15, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:14:30, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:15:44, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:16:50, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:18:04, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:19:19, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:20:33, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:21:47, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:23:02, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:24:16, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:25:31, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:26:45, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:27:59, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:29:14, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:30:28, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:31:42, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:32:57, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:34:11, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:35:26, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:36:40, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:37:54, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:39:09, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:40:23, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:41:37, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:42:52, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:44:06, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:45:20, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:46:35, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:47:49, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:49:04, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:50:18, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:51:32, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:52:47, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:54:01, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:55:15, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:56:30, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:57:44, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:58:59, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:59:17, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
15:00:32, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
15:01:46, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
15:03:00, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
15:03:30, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
15:04:45, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
15:05:33, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
15:05:51, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
15:06:33, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
15:07:24, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
15:08:04, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
15:08:55, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
15:09:25, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
15:13:53, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
15:16:25, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
