10:57:03, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
10:57:37, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
10:58:11, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
10:58:46, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
10:59:20, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:00:04, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:00:50, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:06:47, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:07:21, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:07:56, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:08:34, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:09:30, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:25:08, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:26:04, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:27:01, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:27:47, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:28:43, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:29:39, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:30:36, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:31:32, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:32:28, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:33:34, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:34:39, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:35:45, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:36:50, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:37:55, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:39:00, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:40:06, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:41:11, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:42:16, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:43:21, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:44:27, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:45:23, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:46:20, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:47:15, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:48:11, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:49:16, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:50:21, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:51:27, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:52:32, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:53:37, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:54:42, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:55:48, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:56:53, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:57:58, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:59:04, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
12:00:09, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
12:01:14, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
12:02:19, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
12:03:34, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
12:04:30, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
12:05:26, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
12:06:22, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
12:07:28, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
12:08:38, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
13:41:18, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
13:42:32, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
13:43:47, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
13:45:01, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
13:46:15, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
13:47:30, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
13:48:44, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
13:49:58, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
13:51:13, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
13:52:27, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
13:53:42, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
13:54:56, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
13:56:10, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
13:57:25, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
13:58:39, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
13:59:53, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:01:08, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:02:22, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:03:37, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:04:51, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:06:05, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:07:20, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:08:34, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:09:48, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:11:03, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:12:17, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:13:31, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:14:46, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:16:00, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:17:06, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:18:21, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:19:35, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:20:49, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:22:04, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:23:18, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:24:32, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:25:47, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:27:01, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:28:15, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:29:30, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:30:44, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:31:59, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:33:13, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:34:27, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:35:42, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:36:56, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:38:10, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:39:25, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:40:39, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:41:54, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:43:08, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:44:22, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:45:37, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:46:51, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:48:05, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:49:20, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:50:34, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:51:49, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:53:03, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:54:17, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:55:32, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:56:46, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:58:00, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
14:59:33, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
15:00:48, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
15:02:02, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
15:03:46, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
15:05:01, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
15:06:49, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
15:08:20, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
15:09:41, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
15:14:10, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
15:16:42, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
