10:57:06, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
10:57:40, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
10:58:14, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
10:58:49, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
10:59:23, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:00:07, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:00:53, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:06:50, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:07:25, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:07:59, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:08:37, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:09:33, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:25:11, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:26:07, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:27:04, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:27:50, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:28:46, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:29:42, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:30:39, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:31:35, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:32:31, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:33:37, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:34:42, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:35:48, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:36:53, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:37:58, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:39:03, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:40:09, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:41:14, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:42:19, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:43:24, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:44:30, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:45:26, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:46:23, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:47:18, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:48:14, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:49:19, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:50:24, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:51:30, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:52:35, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:53:40, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:54:45, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:55:51, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:56:56, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:58:01, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
11:59:07, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
12:00:12, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
12:01:17, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
12:02:22, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
12:03:37, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
12:04:33, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
12:05:29, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
12:06:26, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
12:07:31, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
12:08:41, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
13:41:21, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
13:42:35, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
13:43:50, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
13:45:04, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
