10:23:42, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.029/0.029/0.029/0.000 ms
10:23:47, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.033/0.033/0.033/0.000 ms
10:23:52, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.028/0.028/0.028/0.000 ms
10:23:57, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.028/0.028/0.028/0.000 ms
10:24:03, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.031/0.031/0.031/0.000 ms
10:24:08, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.034/0.034/0.034/0.000 ms
10:24:13, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.031/0.031/0.031/0.000 ms
10:24:18, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.026/0.026/0.026/0.000 ms
10:24:23, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.028/0.028/0.028/0.000 ms
10:24:28, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.027/0.027/0.027/0.000 ms
10:24:34, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.029/0.029/0.029/0.000 ms
10:28:26, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:30:02, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:31:41, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:32:29, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:47:38, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:48:25, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:49:12, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:50:00, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:50:47, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:51:34, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:52:20, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:01:05, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 617.167/617.167/617.167/0.000 ms
11:08:49, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:09:45, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:25:23, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:26:20, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:28:02, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:28:58, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:29:55, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:30:51, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:31:47, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:32:53, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:33:58, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:35:03, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:36:08, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:37:14, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:38:19, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:39:24, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:40:30, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:41:35, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:42:40, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:43:45, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:44:42, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
