13:06:27, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
13:07:22, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
13:08:17, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
13:09:12, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
13:09:53, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
13:42:02, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
13:42:36, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
13:43:10, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
13:54:43, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
