10:16:18, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:16:28, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:18:40, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:18:50, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:23:25, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
10:52:50, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:53:29, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:04:18, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:08:51, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:20:24, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:23:27, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:23:58, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:25:47, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:30:31, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:33:13, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:44:46, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:47:51, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:50:17, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:54:52, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:55:45, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
11:56:45, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
12:05:42, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
12:06:39, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
12:08:11, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
12:17:14, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
12:18:37, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
12:21:44, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
12:22:42, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
12:23:27, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
12:24:41, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
12:31:58, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
12:33:05, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
12:34:23, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
12:34:55, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
12:37:43, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
12:43:13, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
13:48:38, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
13:49:53, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
13:50:55, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
13:53:45, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
13:56:27, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:00:53, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:02:34, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:03:14, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:03:48, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:04:23, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:04:57, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:05:50, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:52:13, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:54:24, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
