10:16:39, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:16:49, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:19:00, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
10:19:10, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:03:24, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:03:59, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:04:33, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:05:07, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:57:34, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
15:46:16, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
15:46:54, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
15:47:45, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
15:48:19, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
15:48:52, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
15:49:26, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
15:50:00, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
