19:19:34, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
19:20:08, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
19:20:43, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
19:21:08, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
19:21:33, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
19:21:59, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
19:22:24, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
19:22:50, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
19:23:16, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
19:23:41, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
19:24:44, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
19:24:54, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
19:25:10, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
19:25:18, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
