19:19:24, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
19:19:59, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
19:20:33, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
19:20:58, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
19:21:24, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
19:21:50, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
19:22:15, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
19:22:41, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
19:23:06, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
19:23:32, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
19:24:35, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
19:24:44, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
19:25:00, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
19:25:09, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
