19:19:27, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
19:20:02, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
19:20:36, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
19:21:01, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
19:21:27, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
19:21:53, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
19:22:18, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
19:22:44, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
19:23:09, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
19:23:35, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
19:24:38, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
19:24:47, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
19:25:03, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
19:25:12, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
