19:19:31, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
19:20:05, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
19:20:40, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
19:21:05, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
19:21:30, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
19:21:56, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
19:22:21, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
19:22:47, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
19:23:13, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
19:23:38, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
19:24:41, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
19:24:51, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
19:25:07, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
19:25:15, 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms,
