14:32:41, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:33:12, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:33:43, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:34:15, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:34:46, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:35:17, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:35:48, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:36:20, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:36:51, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:37:22, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:37:53, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:38:25, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:38:56, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:42:28, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:42:59, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:44:45, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:45:16, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:45:47, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:46:09, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:46:43, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:47:17, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:47:51, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:48:26, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:49:00, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:49:10, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.040/0.040/0.040/0.000 ms
14:49:15, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.029/0.029/0.029/0.000 ms
