14:32:51, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:33:22, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:33:53, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:34:25, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:34:56, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:35:27, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:35:58, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:36:30, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:37:01, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:37:32, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:38:03, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:38:35, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:39:06, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:42:38, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:43:09, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:44:55, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:45:26, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:45:47, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:46:19, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:46:53, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:47:27, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:48:01, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:48:36, 1 packets transmitted, 0 received, 100% packet loss, time 0ms,
14:49:10, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.028/0.028/0.028/0.000 ms
14:49:15, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.030/0.030/0.030/0.000 ms
14:49:20, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.027/0.027/0.027/0.000 ms
14:49:25, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.030/0.030/0.030/0.000 ms
14:49:30, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.029/0.029/0.029/0.000 ms
14:49:35, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.030/0.030/0.030/0.000 ms
14:49:41, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.029/0.029/0.029/0.000 ms
14:49:46, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.035/0.035/0.035/0.000 ms
14:49:51, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.036/0.036/0.036/0.000 ms
14:49:56, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.035/0.035/0.035/0.000 ms
14:50:01, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.036/0.036/0.036/0.000 ms
14:50:06, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.029/0.029/0.029/0.000 ms
14:50:11, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.027/0.027/0.027/0.000 ms
14:50:16, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.028/0.028/0.028/0.000 ms
14:50:21, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.030/0.030/0.030/0.000 ms
14:50:26, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.025/0.025/0.025/0.000 ms
14:50:32, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.037/0.037/0.037/0.000 ms
14:50:37, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.035/0.035/0.035/0.000 ms
14:50:42, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.025/0.025/0.025/0.000 ms
14:50:47, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.026/0.026/0.026/0.000 ms
14:50:52, 1 packets transmitted, 1 received, 0% packet loss, time 0ms, rtt min/avg/max/mdev = 0.025/0.025/0.025/0.000 ms
